cluster,gene,
Epithelial,KRT19,
Epithelial,KRT17,
Epithelial,CLDN4,
Epithelial,ELF3,
Epithelial,S100A14,
Epithelial,WFDC2,
Epithelial,KRT8,
Epithelial,DSP,
Epithelial,KRT18,
Epithelial,PERP,
Epithelial,SPINT2,
Epithelial,SAT1,
Epithelial,EPCAM,
Epithelial,LMO7,
Epithelial,NEAT1,
Epithelial,KLF5,
Epithelial,S100A11,
Epithelial,PDLIM1,
Epithelial,NPC2,
Epithelial,CDH1,
Endothelial,CLDN5,
Endothelial,RAMP2,
Endothelial,PECAM1,
Endothelial,CAV1,
Endothelial,A2M,
Endothelial,EGFL7,
Endothelial,CD93,
Endothelial,IFI27,
Endothelial,EPAS1,
Endothelial,CAVIN2,
Endothelial,GNG11,
Endothelial,CLEC14A,
Endothelial,VWF,
Endothelial,CDH5,
Endothelial,CALCRL,
Endothelial,C2CD4B,
Endothelial,COL4A1,
Endothelial,PRCP,
Endothelial,HLA-B,
Endothelial,FLT1,
Mesenchymal,COL1A1,
Mesenchymal,COL1A2,
Mesenchymal,DCN,
Mesenchymal,COL3A1,
Mesenchymal,OGN,
Mesenchymal,MGP,
Mesenchymal,IGFBP5,
Mesenchymal,PLAC9,
Mesenchymal,C11orf96,
Mesenchymal,SPARCL1,
Mesenchymal,TPM2,
Mesenchymal,AKAP12,
Mesenchymal,COL6A3,
Mesenchymal,ADAMTS1,
Mesenchymal,CALD1,
Mesenchymal,SPARC,
Mesenchymal,COL6A2,
Mesenchymal,FBN1,
Mesenchymal,NR2F1,
Mesenchymal,LHFPL6,
Immune,SRGN,
Immune,CD3D,
Immune,ARHGDIB,
Immune,AIF1,
Immune,PTPRC,
Immune,CORO1A,
Immune,GMFG,
Immune,FYB1,
Immune,LCP1,
Immune,SEPT6,
Immune,LAPTM5,
Immune,CD37,
Immune,HIST1H4C,
Immune,RAC2,
Immune,IKZF1,
Immune,RGS10,
Immune,CD99,
Immune,TMSB4X,
Immune,STMN1,
Immune,EVL,
Neuronal,S100B,
Neuronal,NRXN1,
Neuronal,PLP1,
Neuronal,GPM6B,
Neuronal,MPZ,
Neuronal,CDH19,
Neuronal,CRYAB,
Neuronal,PMP22,
Neuronal,METRN,
Neuronal,SCN7A,
Neuronal,VIM,
Neuronal,FXYD1,
Neuronal,XKR4,
Neuronal,PMEPA1,
Neuronal,CTNNAL1,
Neuronal,GAS7,
Neuronal,CHL1,
Neuronal,TTYH1,
Neuronal,ZEB2,
Neuronal,MARCKS,
Myoepithelial,KRT14,
Myoepithelial,FABP7,
Myoepithelial,SAA1,
Myoepithelial,NTRK2,
Myoepithelial,CST3,
Myoepithelial,FBXO32,
Myoepithelial,TM4SF1,
Myoepithelial,SFRP1,
Myoepithelial,FGFR1,
Myoepithelial,MYLK,
Myoepithelial,COL9A2,
Myoepithelial,NCOA7,
Myoepithelial,ARID5B,
Myoepithelial,ACTA2,
Myoepithelial,ITGA6,
Myoepithelial,TPM1,
Myoepithelial,EGR2,
Myoepithelial,COL9A3,
Myoepithelial,C2orf40,
Myoepithelial,MIA,
